file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20260113.xlsx,7203,18,-400.0,5.0,0.1
ticks_20260113.xlsx,7203,18,1300.0,10.0,0.1
ticks_20260113.xlsx,7203,18,1300.0,15.0,0.1
ticks_20260113.xlsx,7203,18,2500.0,20.0,0.1
ticks_20260113.xlsx,7203,18,2900.0,25.0,0.1
ticks_20260113.xlsx,7203,18,200.0,30.0,0.1
ticks_20260113.xlsx,7203,18,200.0,35.0,0.1
ticks_20260113.xlsx,7203,18,200.0,40.0,0.1
ticks_20260113.xlsx,7203,18,-500.0,5.0,0.2
ticks_20260113.xlsx,7203,18,1000.0,10.0,0.2
ticks_20260113.xlsx,7203,18,1000.0,15.0,0.2
ticks_20260113.xlsx,7203,18,1900.0,20.0,0.2
ticks_20260113.xlsx,7203,18,2300.0,25.0,0.2
ticks_20260113.xlsx,7203,18,200.0,30.0,0.2
ticks_20260113.xlsx,7203,18,200.0,35.0,0.2
ticks_20260113.xlsx,7203,18,200.0,40.0,0.2
ticks_20260113.xlsx,7203,18,-600.0,5.0,0.3
ticks_20260113.xlsx,7203,18,700.0,10.0,0.3
ticks_20260113.xlsx,7203,18,700.0,15.0,0.3
ticks_20260113.xlsx,7203,18,1400.0,20.0,0.3
ticks_20260113.xlsx,7203,18,1700.0,25.0,0.3
ticks_20260113.xlsx,7203,18,200.0,30.0,0.3
ticks_20260113.xlsx,7203,18,200.0,35.0,0.3
ticks_20260113.xlsx,7203,18,200.0,40.0,0.3
ticks_20260113.xlsx,7203,18,-1000.0,5.0,0.4
ticks_20260113.xlsx,7203,18,200.0,10.0,0.4
ticks_20260113.xlsx,7203,18,200.0,15.0,0.4
ticks_20260113.xlsx,7203,18,800.0,20.0,0.4
ticks_20260113.xlsx,7203,18,1400.0,25.0,0.4
ticks_20260113.xlsx,7203,18,200.0,30.0,0.4
ticks_20260113.xlsx,7203,18,200.0,35.0,0.4
ticks_20260113.xlsx,7203,18,200.0,40.0,0.4
ticks_20260113.xlsx,7203,18,-800.0,5.0,0.5
ticks_20260113.xlsx,7203,18,300.0,10.0,0.5
ticks_20260113.xlsx,7203,18,300.0,15.0,0.5
ticks_20260113.xlsx,7203,18,300.0,20.0,0.5
ticks_20260113.xlsx,7203,18,1100.0,25.0,0.5
ticks_20260113.xlsx,7203,18,200.0,30.0,0.5
ticks_20260113.xlsx,7203,18,200.0,35.0,0.5
ticks_20260113.xlsx,7203,18,200.0,40.0,0.5
ticks_20260113.xlsx,7203,18,-1000.0,5.0,0.6
ticks_20260113.xlsx,7203,18,900.0,10.0,0.6
ticks_20260113.xlsx,7203,18,900.0,15.0,0.6
ticks_20260113.xlsx,7203,18,900.0,20.0,0.6
ticks_20260113.xlsx,7203,18,900.0,25.0,0.6
ticks_20260113.xlsx,7203,18,200.0,30.0,0.6
ticks_20260113.xlsx,7203,18,200.0,35.0,0.6
ticks_20260113.xlsx,7203,18,200.0,40.0,0.6
ticks_20260113.xlsx,7203,18,-1300.0,5.0,0.7
ticks_20260113.xlsx,7203,18,600.0,10.0,0.7
ticks_20260113.xlsx,7203,18,600.0,15.0,0.7
ticks_20260113.xlsx,7203,18,600.0,20.0,0.7
ticks_20260113.xlsx,7203,18,600.0,25.0,0.7
ticks_20260113.xlsx,7203,18,200.0,30.0,0.7
ticks_20260113.xlsx,7203,18,200.0,35.0,0.7
ticks_20260113.xlsx,7203,18,200.0,40.0,0.7
ticks_20260113.xlsx,7203,18,-1700.0,5.0,0.8
ticks_20260113.xlsx,7203,18,200.0,10.0,0.8
ticks_20260113.xlsx,7203,18,200.0,15.0,0.8
ticks_20260113.xlsx,7203,18,200.0,20.0,0.8
ticks_20260113.xlsx,7203,18,200.0,25.0,0.8
ticks_20260113.xlsx,7203,18,200.0,30.0,0.8
ticks_20260113.xlsx,7203,18,200.0,35.0,0.8
ticks_20260113.xlsx,7203,18,200.0,40.0,0.8
