file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20250902.xlsx,7011,36,0.0,5.0,0.1
ticks_20250902.xlsx,7011,34,-400.0,10.0,0.1
ticks_20250902.xlsx,7011,34,-700.0,15.0,0.1
ticks_20250902.xlsx,7011,34,-700.0,20.0,0.1
ticks_20250902.xlsx,7011,34,-700.0,25.0,0.1
ticks_20250902.xlsx,7011,34,-700.0,30.0,0.1
ticks_20250902.xlsx,7011,34,-700.0,35.0,0.1
ticks_20250902.xlsx,7011,34,-700.0,40.0,0.1
ticks_20250902.xlsx,7011,36,200.0,5.0,0.2
ticks_20250902.xlsx,7011,34,-500.0,10.0,0.2
ticks_20250902.xlsx,7011,34,-700.0,15.0,0.2
ticks_20250902.xlsx,7011,34,-700.0,20.0,0.2
ticks_20250902.xlsx,7011,34,-700.0,25.0,0.2
ticks_20250902.xlsx,7011,34,-700.0,30.0,0.2
ticks_20250902.xlsx,7011,34,-700.0,35.0,0.2
ticks_20250902.xlsx,7011,34,-700.0,40.0,0.2
ticks_20250902.xlsx,7011,36,300.0,5.0,0.3
ticks_20250902.xlsx,7011,34,-700.0,10.0,0.3
ticks_20250902.xlsx,7011,34,-700.0,15.0,0.3
ticks_20250902.xlsx,7011,34,-700.0,20.0,0.3
ticks_20250902.xlsx,7011,34,-700.0,25.0,0.3
ticks_20250902.xlsx,7011,34,-700.0,30.0,0.3
ticks_20250902.xlsx,7011,34,-700.0,35.0,0.3
ticks_20250902.xlsx,7011,34,-700.0,40.0,0.3
ticks_20250902.xlsx,7011,36,-200.0,5.0,0.4
ticks_20250902.xlsx,7011,34,-900.0,10.0,0.4
ticks_20250902.xlsx,7011,34,-700.0,15.0,0.4
ticks_20250902.xlsx,7011,34,-700.0,20.0,0.4
ticks_20250902.xlsx,7011,34,-700.0,25.0,0.4
ticks_20250902.xlsx,7011,34,-700.0,30.0,0.4
ticks_20250902.xlsx,7011,34,-700.0,35.0,0.4
ticks_20250902.xlsx,7011,34,-700.0,40.0,0.4
ticks_20250902.xlsx,7011,36,-400.0,5.0,0.5
ticks_20250902.xlsx,7011,34,-700.0,10.0,0.5
ticks_20250902.xlsx,7011,34,-700.0,15.0,0.5
ticks_20250902.xlsx,7011,34,-700.0,20.0,0.5
ticks_20250902.xlsx,7011,34,-700.0,25.0,0.5
ticks_20250902.xlsx,7011,34,-700.0,30.0,0.5
ticks_20250902.xlsx,7011,34,-700.0,35.0,0.5
ticks_20250902.xlsx,7011,34,-700.0,40.0,0.5
ticks_20250902.xlsx,7011,36,-400.0,5.0,0.6
ticks_20250902.xlsx,7011,34,-700.0,10.0,0.6
ticks_20250902.xlsx,7011,34,-700.0,15.0,0.6
ticks_20250902.xlsx,7011,34,-700.0,20.0,0.6
ticks_20250902.xlsx,7011,34,-700.0,25.0,0.6
ticks_20250902.xlsx,7011,34,-700.0,30.0,0.6
ticks_20250902.xlsx,7011,34,-700.0,35.0,0.6
ticks_20250902.xlsx,7011,34,-700.0,40.0,0.6
ticks_20250902.xlsx,7011,36,-600.0,5.0,0.7
ticks_20250902.xlsx,7011,34,-700.0,10.0,0.7
ticks_20250902.xlsx,7011,34,-700.0,15.0,0.7
ticks_20250902.xlsx,7011,34,-700.0,20.0,0.7
ticks_20250902.xlsx,7011,34,-700.0,25.0,0.7
ticks_20250902.xlsx,7011,34,-700.0,30.0,0.7
ticks_20250902.xlsx,7011,34,-700.0,35.0,0.7
ticks_20250902.xlsx,7011,34,-700.0,40.0,0.7
ticks_20250902.xlsx,7011,36,-600.0,5.0,0.8
ticks_20250902.xlsx,7011,34,-700.0,10.0,0.8
ticks_20250902.xlsx,7011,34,-700.0,15.0,0.8
ticks_20250902.xlsx,7011,34,-700.0,20.0,0.8
ticks_20250902.xlsx,7011,34,-700.0,25.0,0.8
ticks_20250902.xlsx,7011,34,-700.0,30.0,0.8
ticks_20250902.xlsx,7011,34,-700.0,35.0,0.8
ticks_20250902.xlsx,7011,34,-700.0,40.0,0.8
