file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20251112.xlsx,7011,20,1000.0,5.0,0.1
ticks_20251112.xlsx,7011,20,2400.0,10.0,0.1
ticks_20251112.xlsx,7011,20,2100.0,15.0,0.1
ticks_20251112.xlsx,7011,20,1800.0,20.0,0.1
ticks_20251112.xlsx,7011,20,3200.0,25.0,0.1
ticks_20251112.xlsx,7011,20,1900.0,30.0,0.1
ticks_20251112.xlsx,7011,20,1300.0,35.0,0.1
ticks_20251112.xlsx,7011,20,1300.0,40.0,0.1
ticks_20251112.xlsx,7011,20,1400.0,5.0,0.2
ticks_20251112.xlsx,7011,20,2100.0,10.0,0.2
ticks_20251112.xlsx,7011,20,2500.0,15.0,0.2
ticks_20251112.xlsx,7011,20,2100.0,20.0,0.2
ticks_20251112.xlsx,7011,20,2700.0,25.0,0.2
ticks_20251112.xlsx,7011,20,1500.0,30.0,0.2
ticks_20251112.xlsx,7011,20,1300.0,35.0,0.2
ticks_20251112.xlsx,7011,20,1300.0,40.0,0.2
ticks_20251112.xlsx,7011,20,900.0,5.0,0.3
ticks_20251112.xlsx,7011,20,1600.0,10.0,0.3
ticks_20251112.xlsx,7011,20,2400.0,15.0,0.3
ticks_20251112.xlsx,7011,20,2000.0,20.0,0.3
ticks_20251112.xlsx,7011,20,2400.0,25.0,0.3
ticks_20251112.xlsx,7011,20,1200.0,30.0,0.3
ticks_20251112.xlsx,7011,20,1300.0,35.0,0.3
ticks_20251112.xlsx,7011,20,1300.0,40.0,0.3
ticks_20251112.xlsx,7011,20,700.0,5.0,0.4
ticks_20251112.xlsx,7011,20,2800.0,10.0,0.4
ticks_20251112.xlsx,7011,20,2200.0,15.0,0.4
ticks_20251112.xlsx,7011,20,1900.0,20.0,0.4
ticks_20251112.xlsx,7011,20,2300.0,25.0,0.4
ticks_20251112.xlsx,7011,20,1300.0,30.0,0.4
ticks_20251112.xlsx,7011,20,1300.0,35.0,0.4
ticks_20251112.xlsx,7011,20,1300.0,40.0,0.4
ticks_20251112.xlsx,7011,20,200.0,5.0,0.5
ticks_20251112.xlsx,7011,20,2400.0,10.0,0.5
ticks_20251112.xlsx,7011,20,1600.0,15.0,0.5
ticks_20251112.xlsx,7011,20,1500.0,20.0,0.5
ticks_20251112.xlsx,7011,20,1500.0,25.0,0.5
ticks_20251112.xlsx,7011,20,1300.0,30.0,0.5
ticks_20251112.xlsx,7011,20,1300.0,35.0,0.5
ticks_20251112.xlsx,7011,20,1300.0,40.0,0.5
ticks_20251112.xlsx,7011,20,-300.0,5.0,0.6
ticks_20251112.xlsx,7011,20,1900.0,10.0,0.6
ticks_20251112.xlsx,7011,20,1500.0,15.0,0.6
ticks_20251112.xlsx,7011,20,1500.0,20.0,0.6
ticks_20251112.xlsx,7011,20,1500.0,25.0,0.6
ticks_20251112.xlsx,7011,20,1300.0,30.0,0.6
ticks_20251112.xlsx,7011,20,1300.0,35.0,0.6
ticks_20251112.xlsx,7011,20,1300.0,40.0,0.6
ticks_20251112.xlsx,7011,20,-200.0,5.0,0.7
ticks_20251112.xlsx,7011,20,2100.0,10.0,0.7
ticks_20251112.xlsx,7011,20,1400.0,15.0,0.7
ticks_20251112.xlsx,7011,20,1400.0,20.0,0.7
ticks_20251112.xlsx,7011,20,1400.0,25.0,0.7
ticks_20251112.xlsx,7011,20,1300.0,30.0,0.7
ticks_20251112.xlsx,7011,20,1300.0,35.0,0.7
ticks_20251112.xlsx,7011,20,1300.0,40.0,0.7
ticks_20251112.xlsx,7011,20,-800.0,5.0,0.8
ticks_20251112.xlsx,7011,20,1600.0,10.0,0.8
ticks_20251112.xlsx,7011,20,1300.0,15.0,0.8
ticks_20251112.xlsx,7011,20,1300.0,20.0,0.8
ticks_20251112.xlsx,7011,20,1300.0,25.0,0.8
ticks_20251112.xlsx,7011,20,1300.0,30.0,0.8
ticks_20251112.xlsx,7011,20,1300.0,35.0,0.8
ticks_20251112.xlsx,7011,20,1300.0,40.0,0.8
