file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20250911.xlsx,7011,50,-1400.0,5.0,0.1
ticks_20250911.xlsx,7011,50,-400.0,10.0,0.1
ticks_20250911.xlsx,7011,50,-600.0,15.0,0.1
ticks_20250911.xlsx,7011,50,-600.0,20.0,0.1
ticks_20250911.xlsx,7011,50,0.0,25.0,0.1
ticks_20250911.xlsx,7011,50,300.0,30.0,0.1
ticks_20250911.xlsx,7011,50,-300.0,35.0,0.1
ticks_20250911.xlsx,7011,50,-300.0,40.0,0.1
ticks_20250911.xlsx,7011,50,-1200.0,5.0,0.2
ticks_20250911.xlsx,7011,50,100.0,10.0,0.2
ticks_20250911.xlsx,7011,50,-800.0,15.0,0.2
ticks_20250911.xlsx,7011,50,-800.0,20.0,0.2
ticks_20250911.xlsx,7011,50,-100.0,25.0,0.2
ticks_20250911.xlsx,7011,50,-100.0,30.0,0.2
ticks_20250911.xlsx,7011,50,-300.0,35.0,0.2
ticks_20250911.xlsx,7011,50,-300.0,40.0,0.2
ticks_20250911.xlsx,7011,50,-1100.0,5.0,0.3
ticks_20250911.xlsx,7011,50,200.0,10.0,0.3
ticks_20250911.xlsx,7011,50,-300.0,15.0,0.3
ticks_20250911.xlsx,7011,50,-300.0,20.0,0.3
ticks_20250911.xlsx,7011,50,-300.0,25.0,0.3
ticks_20250911.xlsx,7011,50,-300.0,30.0,0.3
ticks_20250911.xlsx,7011,50,-300.0,35.0,0.3
ticks_20250911.xlsx,7011,50,-300.0,40.0,0.3
ticks_20250911.xlsx,7011,50,-1300.0,5.0,0.4
ticks_20250911.xlsx,7011,50,-100.0,10.0,0.4
ticks_20250911.xlsx,7011,50,-300.0,15.0,0.4
ticks_20250911.xlsx,7011,50,-300.0,20.0,0.4
ticks_20250911.xlsx,7011,50,-300.0,25.0,0.4
ticks_20250911.xlsx,7011,50,-300.0,30.0,0.4
ticks_20250911.xlsx,7011,50,-300.0,35.0,0.4
ticks_20250911.xlsx,7011,50,-300.0,40.0,0.4
ticks_20250911.xlsx,7011,50,-2100.0,5.0,0.5
ticks_20250911.xlsx,7011,50,-600.0,10.0,0.5
ticks_20250911.xlsx,7011,50,-300.0,15.0,0.5
ticks_20250911.xlsx,7011,50,-300.0,20.0,0.5
ticks_20250911.xlsx,7011,50,-300.0,25.0,0.5
ticks_20250911.xlsx,7011,50,-300.0,30.0,0.5
ticks_20250911.xlsx,7011,50,-300.0,35.0,0.5
ticks_20250911.xlsx,7011,50,-300.0,40.0,0.5
ticks_20250911.xlsx,7011,50,-2400.0,5.0,0.6
ticks_20250911.xlsx,7011,50,-800.0,10.0,0.6
ticks_20250911.xlsx,7011,50,-300.0,15.0,0.6
ticks_20250911.xlsx,7011,50,-300.0,20.0,0.6
ticks_20250911.xlsx,7011,50,-300.0,25.0,0.6
ticks_20250911.xlsx,7011,50,-300.0,30.0,0.6
ticks_20250911.xlsx,7011,50,-300.0,35.0,0.6
ticks_20250911.xlsx,7011,50,-300.0,40.0,0.6
ticks_20250911.xlsx,7011,50,-900.0,5.0,0.7
ticks_20250911.xlsx,7011,50,-1100.0,10.0,0.7
ticks_20250911.xlsx,7011,50,-300.0,15.0,0.7
ticks_20250911.xlsx,7011,50,-300.0,20.0,0.7
ticks_20250911.xlsx,7011,50,-300.0,25.0,0.7
ticks_20250911.xlsx,7011,50,-300.0,30.0,0.7
ticks_20250911.xlsx,7011,50,-300.0,35.0,0.7
ticks_20250911.xlsx,7011,50,-300.0,40.0,0.7
ticks_20250911.xlsx,7011,50,-200.0,5.0,0.8
ticks_20250911.xlsx,7011,50,-400.0,10.0,0.8
ticks_20250911.xlsx,7011,50,-300.0,15.0,0.8
ticks_20250911.xlsx,7011,50,-300.0,20.0,0.8
ticks_20250911.xlsx,7011,50,-300.0,25.0,0.8
ticks_20250911.xlsx,7011,50,-300.0,30.0,0.8
ticks_20250911.xlsx,7011,50,-300.0,35.0,0.8
ticks_20250911.xlsx,7011,50,-300.0,40.0,0.8
