file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20251222.xlsx,7011,60,-1700.0,5.0,0.1
ticks_20251222.xlsx,7011,60,-4600.0,10.0,0.1
ticks_20251222.xlsx,7011,60,-5400.0,15.0,0.1
ticks_20251222.xlsx,7011,60,-5200.0,20.0,0.1
ticks_20251222.xlsx,7011,60,-6700.0,25.0,0.1
ticks_20251222.xlsx,7011,60,-6700.0,30.0,0.1
ticks_20251222.xlsx,7011,60,-6700.0,35.0,0.1
ticks_20251222.xlsx,7011,60,-6700.0,40.0,0.1
ticks_20251222.xlsx,7011,60,-2200.0,5.0,0.2
ticks_20251222.xlsx,7011,60,-4600.0,10.0,0.2
ticks_20251222.xlsx,7011,60,-5100.0,15.0,0.2
ticks_20251222.xlsx,7011,60,-5100.0,20.0,0.2
ticks_20251222.xlsx,7011,60,-6700.0,25.0,0.2
ticks_20251222.xlsx,7011,60,-6700.0,30.0,0.2
ticks_20251222.xlsx,7011,60,-6700.0,35.0,0.2
ticks_20251222.xlsx,7011,60,-6700.0,40.0,0.2
ticks_20251222.xlsx,7011,60,-2500.0,5.0,0.3
ticks_20251222.xlsx,7011,60,-5000.0,10.0,0.3
ticks_20251222.xlsx,7011,60,-5400.0,15.0,0.3
ticks_20251222.xlsx,7011,60,-5400.0,20.0,0.3
ticks_20251222.xlsx,7011,60,-6700.0,25.0,0.3
ticks_20251222.xlsx,7011,60,-6700.0,30.0,0.3
ticks_20251222.xlsx,7011,60,-6700.0,35.0,0.3
ticks_20251222.xlsx,7011,60,-6700.0,40.0,0.3
ticks_20251222.xlsx,7011,60,-3200.0,5.0,0.4
ticks_20251222.xlsx,7011,60,-5300.0,10.0,0.4
ticks_20251222.xlsx,7011,60,-5600.0,15.0,0.4
ticks_20251222.xlsx,7011,60,-5600.0,20.0,0.4
ticks_20251222.xlsx,7011,60,-6700.0,25.0,0.4
ticks_20251222.xlsx,7011,60,-6700.0,30.0,0.4
ticks_20251222.xlsx,7011,60,-6700.0,35.0,0.4
ticks_20251222.xlsx,7011,60,-6700.0,40.0,0.4
ticks_20251222.xlsx,7011,60,-4000.0,5.0,0.5
ticks_20251222.xlsx,7011,60,-5800.0,10.0,0.5
ticks_20251222.xlsx,7011,60,-5900.0,15.0,0.5
ticks_20251222.xlsx,7011,60,-5900.0,20.0,0.5
ticks_20251222.xlsx,7011,60,-6700.0,25.0,0.5
ticks_20251222.xlsx,7011,60,-6700.0,30.0,0.5
ticks_20251222.xlsx,7011,60,-6700.0,35.0,0.5
ticks_20251222.xlsx,7011,60,-6700.0,40.0,0.5
ticks_20251222.xlsx,7011,60,-4300.0,5.0,0.6
ticks_20251222.xlsx,7011,60,-6300.0,10.0,0.6
ticks_20251222.xlsx,7011,60,-6100.0,15.0,0.6
ticks_20251222.xlsx,7011,60,-6100.0,20.0,0.6
ticks_20251222.xlsx,7011,60,-6700.0,25.0,0.6
ticks_20251222.xlsx,7011,60,-6700.0,30.0,0.6
ticks_20251222.xlsx,7011,60,-6700.0,35.0,0.6
ticks_20251222.xlsx,7011,60,-6700.0,40.0,0.6
ticks_20251222.xlsx,7011,60,-5000.0,5.0,0.7
ticks_20251222.xlsx,7011,60,-6500.0,10.0,0.7
ticks_20251222.xlsx,7011,60,-6300.0,15.0,0.7
ticks_20251222.xlsx,7011,60,-6300.0,20.0,0.7
ticks_20251222.xlsx,7011,60,-6700.0,25.0,0.7
ticks_20251222.xlsx,7011,60,-6700.0,30.0,0.7
ticks_20251222.xlsx,7011,60,-6700.0,35.0,0.7
ticks_20251222.xlsx,7011,60,-6700.0,40.0,0.7
ticks_20251222.xlsx,7011,60,-5400.0,5.0,0.8
ticks_20251222.xlsx,7011,60,-6800.0,10.0,0.8
ticks_20251222.xlsx,7011,60,-6600.0,15.0,0.8
ticks_20251222.xlsx,7011,60,-6600.0,20.0,0.8
ticks_20251222.xlsx,7011,60,-6700.0,25.0,0.8
ticks_20251222.xlsx,7011,60,-6700.0,30.0,0.8
ticks_20251222.xlsx,7011,60,-6700.0,35.0,0.8
ticks_20251222.xlsx,7011,60,-6700.0,40.0,0.8
