file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20251112.xlsx,7203,12,-1200.0,5.0,0.1
ticks_20251112.xlsx,7203,12,-1700.0,10.0,0.1
ticks_20251112.xlsx,7203,12,-1700.0,15.0,0.1
ticks_20251112.xlsx,7203,12,-1700.0,20.0,0.1
ticks_20251112.xlsx,7203,12,-1700.0,25.0,0.1
ticks_20251112.xlsx,7203,12,-1700.0,30.0,0.1
ticks_20251112.xlsx,7203,12,-1700.0,35.0,0.1
ticks_20251112.xlsx,7203,12,-1700.0,40.0,0.1
ticks_20251112.xlsx,7203,12,-1400.0,5.0,0.2
ticks_20251112.xlsx,7203,12,-1700.0,10.0,0.2
ticks_20251112.xlsx,7203,12,-1700.0,15.0,0.2
ticks_20251112.xlsx,7203,12,-1700.0,20.0,0.2
ticks_20251112.xlsx,7203,12,-1700.0,25.0,0.2
ticks_20251112.xlsx,7203,12,-1700.0,30.0,0.2
ticks_20251112.xlsx,7203,12,-1700.0,35.0,0.2
ticks_20251112.xlsx,7203,12,-1700.0,40.0,0.2
ticks_20251112.xlsx,7203,12,-1500.0,5.0,0.3
ticks_20251112.xlsx,7203,12,-1700.0,10.0,0.3
ticks_20251112.xlsx,7203,12,-1700.0,15.0,0.3
ticks_20251112.xlsx,7203,12,-1700.0,20.0,0.3
ticks_20251112.xlsx,7203,12,-1700.0,25.0,0.3
ticks_20251112.xlsx,7203,12,-1700.0,30.0,0.3
ticks_20251112.xlsx,7203,12,-1700.0,35.0,0.3
ticks_20251112.xlsx,7203,12,-1700.0,40.0,0.3
ticks_20251112.xlsx,7203,12,-1500.0,5.0,0.4
ticks_20251112.xlsx,7203,12,-1700.0,10.0,0.4
ticks_20251112.xlsx,7203,12,-1700.0,15.0,0.4
ticks_20251112.xlsx,7203,12,-1700.0,20.0,0.4
ticks_20251112.xlsx,7203,12,-1700.0,25.0,0.4
ticks_20251112.xlsx,7203,12,-1700.0,30.0,0.4
ticks_20251112.xlsx,7203,12,-1700.0,35.0,0.4
ticks_20251112.xlsx,7203,12,-1700.0,40.0,0.4
ticks_20251112.xlsx,7203,12,-1400.0,5.0,0.5
ticks_20251112.xlsx,7203,12,-1700.0,10.0,0.5
ticks_20251112.xlsx,7203,12,-1700.0,15.0,0.5
ticks_20251112.xlsx,7203,12,-1700.0,20.0,0.5
ticks_20251112.xlsx,7203,12,-1700.0,25.0,0.5
ticks_20251112.xlsx,7203,12,-1700.0,30.0,0.5
ticks_20251112.xlsx,7203,12,-1700.0,35.0,0.5
ticks_20251112.xlsx,7203,12,-1700.0,40.0,0.5
ticks_20251112.xlsx,7203,12,-1500.0,5.0,0.6
ticks_20251112.xlsx,7203,12,-1700.0,10.0,0.6
ticks_20251112.xlsx,7203,12,-1700.0,15.0,0.6
ticks_20251112.xlsx,7203,12,-1700.0,20.0,0.6
ticks_20251112.xlsx,7203,12,-1700.0,25.0,0.6
ticks_20251112.xlsx,7203,12,-1700.0,30.0,0.6
ticks_20251112.xlsx,7203,12,-1700.0,35.0,0.6
ticks_20251112.xlsx,7203,12,-1700.0,40.0,0.6
ticks_20251112.xlsx,7203,12,-1500.0,5.0,0.7
ticks_20251112.xlsx,7203,12,-1700.0,10.0,0.7
ticks_20251112.xlsx,7203,12,-1700.0,15.0,0.7
ticks_20251112.xlsx,7203,12,-1700.0,20.0,0.7
ticks_20251112.xlsx,7203,12,-1700.0,25.0,0.7
ticks_20251112.xlsx,7203,12,-1700.0,30.0,0.7
ticks_20251112.xlsx,7203,12,-1700.0,35.0,0.7
ticks_20251112.xlsx,7203,12,-1700.0,40.0,0.7
ticks_20251112.xlsx,7203,12,-1600.0,5.0,0.8
ticks_20251112.xlsx,7203,12,-1700.0,10.0,0.8
ticks_20251112.xlsx,7203,12,-1700.0,15.0,0.8
ticks_20251112.xlsx,7203,12,-1700.0,20.0,0.8
ticks_20251112.xlsx,7203,12,-1700.0,25.0,0.8
ticks_20251112.xlsx,7203,12,-1700.0,30.0,0.8
ticks_20251112.xlsx,7203,12,-1700.0,35.0,0.8
ticks_20251112.xlsx,7203,12,-1700.0,40.0,0.8
