file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20250926.xlsx,8306,46,1400.0,5.0,0.1
ticks_20250926.xlsx,8306,46,700.0,10.0,0.1
ticks_20250926.xlsx,8306,46,1300.0,15.0,0.1
ticks_20250926.xlsx,8306,46,700.0,20.0,0.1
ticks_20250926.xlsx,8306,46,700.0,25.0,0.1
ticks_20250926.xlsx,8306,46,700.0,30.0,0.1
ticks_20250926.xlsx,8306,46,700.0,35.0,0.1
ticks_20250926.xlsx,8306,46,700.0,40.0,0.1
ticks_20250926.xlsx,8306,46,1150.0,5.0,0.2
ticks_20250926.xlsx,8306,46,700.0,10.0,0.2
ticks_20250926.xlsx,8306,46,1000.0,15.0,0.2
ticks_20250926.xlsx,8306,46,700.0,20.0,0.2
ticks_20250926.xlsx,8306,46,700.0,25.0,0.2
ticks_20250926.xlsx,8306,46,700.0,30.0,0.2
ticks_20250926.xlsx,8306,46,700.0,35.0,0.2
ticks_20250926.xlsx,8306,46,700.0,40.0,0.2
ticks_20250926.xlsx,8306,46,1400.0,5.0,0.3
ticks_20250926.xlsx,8306,46,950.0,10.0,0.3
ticks_20250926.xlsx,8306,46,950.0,15.0,0.3
ticks_20250926.xlsx,8306,46,700.0,20.0,0.3
ticks_20250926.xlsx,8306,46,700.0,25.0,0.3
ticks_20250926.xlsx,8306,46,700.0,30.0,0.3
ticks_20250926.xlsx,8306,46,700.0,35.0,0.3
ticks_20250926.xlsx,8306,46,700.0,40.0,0.3
ticks_20250926.xlsx,8306,46,900.0,5.0,0.4
ticks_20250926.xlsx,8306,46,700.0,10.0,0.4
ticks_20250926.xlsx,8306,46,700.0,15.0,0.4
ticks_20250926.xlsx,8306,46,700.0,20.0,0.4
ticks_20250926.xlsx,8306,46,700.0,25.0,0.4
ticks_20250926.xlsx,8306,46,700.0,30.0,0.4
ticks_20250926.xlsx,8306,46,700.0,35.0,0.4
ticks_20250926.xlsx,8306,46,700.0,40.0,0.4
ticks_20250926.xlsx,8306,46,650.0,5.0,0.5
ticks_20250926.xlsx,8306,46,700.0,10.0,0.5
ticks_20250926.xlsx,8306,46,700.0,15.0,0.5
ticks_20250926.xlsx,8306,46,700.0,20.0,0.5
ticks_20250926.xlsx,8306,46,700.0,25.0,0.5
ticks_20250926.xlsx,8306,46,700.0,30.0,0.5
ticks_20250926.xlsx,8306,46,700.0,35.0,0.5
ticks_20250926.xlsx,8306,46,700.0,40.0,0.5
ticks_20250926.xlsx,8306,46,700.0,5.0,0.6
ticks_20250926.xlsx,8306,46,700.0,10.0,0.6
ticks_20250926.xlsx,8306,46,700.0,15.0,0.6
ticks_20250926.xlsx,8306,46,700.0,20.0,0.6
ticks_20250926.xlsx,8306,46,700.0,25.0,0.6
ticks_20250926.xlsx,8306,46,700.0,30.0,0.6
ticks_20250926.xlsx,8306,46,700.0,35.0,0.6
ticks_20250926.xlsx,8306,46,700.0,40.0,0.6
ticks_20250926.xlsx,8306,46,700.0,5.0,0.7
ticks_20250926.xlsx,8306,46,700.0,10.0,0.7
ticks_20250926.xlsx,8306,46,700.0,15.0,0.7
ticks_20250926.xlsx,8306,46,700.0,20.0,0.7
ticks_20250926.xlsx,8306,46,700.0,25.0,0.7
ticks_20250926.xlsx,8306,46,700.0,30.0,0.7
ticks_20250926.xlsx,8306,46,700.0,35.0,0.7
ticks_20250926.xlsx,8306,46,700.0,40.0,0.7
ticks_20250926.xlsx,8306,46,700.0,5.0,0.8
ticks_20250926.xlsx,8306,46,700.0,10.0,0.8
ticks_20250926.xlsx,8306,46,700.0,15.0,0.8
ticks_20250926.xlsx,8306,46,700.0,20.0,0.8
ticks_20250926.xlsx,8306,46,700.0,25.0,0.8
ticks_20250926.xlsx,8306,46,700.0,30.0,0.8
ticks_20250926.xlsx,8306,46,700.0,35.0,0.8
ticks_20250926.xlsx,8306,46,700.0,40.0,0.8
